ProductKey,ProductLabel,ProductName,ProductDescription,ProductSubcategoryKey,Manufacturer,BrandName,ClassID,ClassName,StyleID,StyleName,ColorID,ColorName,Size,SizeRange,SizeUnitMeasureID,Weight,WeightUnitMeasureID,UnitOfMeasureID,UnitOfMeasureName,StockTypeID,StockTypeName,UnitCost,UnitPrice,AvailableForSaleDate,StopSaleDate,Status,ImageURL,ProductURL,ETLLoadID,LoadDate,UpdateDate
21,0101021,Contoso 8GB MP3 Player new model M820 Blue,"2'' LCD with blue-white LED, 320x240-pixel, plays music, video, photos and text, display JPEG, BMP, GIF, TIFF and PNG  ",1,"Contoso, Ltd",Contoso,2,Regular,1,Product0101021,3,Blue,2.2 x 1.4 x 0.6, , ,10.6,ounces,1,inches,2,Mid,$61.62,$134.00,20-Mar-08,,On,,,1,14-Jun-08,14-Jun-08
22,0101022,Contoso 8GB MP3 Player new model M820 Yellow,"2'' LCD with blue-white LED, 320x240-pixel, plays music, video, photos and text, display JPEG, BMP, GIF, TIFF and PNG  ",1,"Contoso, Ltd",Contoso,2,Regular,4,Product0101022,13,Yellow,2.2 x 1.4 x 0.6, , ,1,ounces,1,inches,2,Mid,$61.62,$134.00,20-Mar-08,,On,,,1,15-Jun-08,15-Jun-08
23,0101023,Contoso 8GB MP3 Player new model M820 White,"2'' LCD with blue-white LED, 320x240-pixel, plays music, video, photos and text, display JPEG, BMP, GIF, TIFF and PNG  ",1,"Contoso, Ltd",Contoso,2,Regular,3,Product0101023,8,White,3.5 x 1.7 x 0.5,,,2.6,ounces,1,inches,2,Mid,$61.62,$134.00,20-Mar-08,,On,,,1,16-Jun-08,16-Jun-08
24,0101024,Contoso 16GB Mp5 Player M1600 Blue,"3"" 16:9 TFT Touch screen, 16GB flash memory, plays AVI/RM/RMVB/FLV",1,"Contoso, Ltd",Contoso,2,Regular,1,Product0101024,3,Blue,3.8 x 0.6 x 2.2,,,11,ounces,1,inches,2,Mid,$91.93,$199.90,11-Mar-09,,On,,,1,17-Jun-08,17-Jun-08
25,0101025,Contoso 16GB Mp5 Player M1600 Black,"3"" 16:9 TFT Touch screen, 16GB flash memory, plays AVI/RM/RMVB/FLV",1,"Contoso, Ltd",Contoso,2,Regular,3,Product0101025,2,Black,1.4 x 5 x 7,,,5.9,ounces,1,inches,2,Mid,$91.93,$199.90,11-Mar-09,,On,,,1,18-Jun-08,18-Jun-08
26,0101026,Contoso 16GB Mp5 Player M1600 Green,"3"" 16:9 TFT Touch screen, 16GB flash memory, plays AVI/RM/RMVB/FLV",1,"Contoso, Ltd",Contoso,2,Regular,1,Product0101026,14,Green,0.6 x 1.5 x 2.2,,,14.1,ounces,1,inches,2,Mid,$91.93,$199.90,11-Mar-09,,On,,,1,19-Jun-08,19-Jun-08
27,0101027,Contoso 16GB Mp5 Player M1600 White,"3"" 16:9 TFT Touch screen, 16GB flash memory, plays AVI/RM/RMVB/FLV",1,"Contoso, Ltd",Contoso,2,Regular,1,Product0101027,8,White,2.2 x 1.4 x 0.6,,,8,ounces,1,inches,2,Mid,$91.93,$199.90,11-Mar-09,,On,,,1,20-Jun-08,20-Jun-08
28,0101028,Contoso 16GB Mp5 Player M1600 Red,"3"" 16:9 TFT Touch screen, 16GB flash memory, plays AVI/RM/RMVB/FLV",1,"Contoso, Ltd",Contoso,2,Regular,3,Product0101028,6,Red,1.2 x 0.8 x 2.8,,,2,ounces,1,inches,2,Mid,$91.93,$199.90,11-Mar-09,,On,,,1,21-Jun-08,21-Jun-08
29,0101029,Contoso 32GB Video MP3 Player M3200 White,"4.3'' Touch screen, 32GB flash memory, beyond 30 hours battery life",1,"Contoso, Ltd",Contoso,2,Regular,3,Product0101029,8,White,1 x 1.6 x 3.7,,,1.2,pounds,1,inches,2,Mid,$84.49,$255.00,02-Jun-08,,On,,,1,22-Jun-08,22-Jun-08
30,0101030,Contoso 32GB Video MP3 Player M3200 Red,"4.3'' Touch screen, 32GB flash memory, beyond 30 hours battery life",1,"Contoso, Ltd",Contoso,2,Regular,1,Product0101030,6,Red,2.2 x 1.5 x 0.6,,,2.1,ounces,1,inches,2,Mid,$84.49,$255.00,02-Jun-08,,On,,,1,23-Jun-08,23-Jun-08
31,0101031,Contoso 32GB Video MP3 Player M3200 Orange,"4.3'' Touch screen, 32GB flash memory, beyond 30 hours battery life",1,"Contoso, Ltd",Contoso,2,Regular,1,Product0101031,9,Orange,2.6 x 2.5 x 0.6,,,1.2,pounds,1,inches,2,Mid,$84.49,$255.00,02-Jun-08,,On,,,1,24-Jun-08,24-Jun-08
32,0101032,Contoso 32GB Video MP3 Player M3200 Pink,"4.3'' Touch screen, 32GB flash memory, beyond 30 hours battery life",1,"Contoso, Ltd",Contoso,2,Regular,1,Product0101032,10,Pink,0.7 x 3.6 x 2.8,,,8.8,ounces,1,inches,2,Mid,$84.49,$255.00,02-Jun-08,,On,,,1,25-Jun-08,25-Jun-08
33,0101033,Contoso 32GB Video MP3 Player M3200 Black,"4.3'' Touch screen, 32GB flash memory, beyond 30 hours battery life",1,"Contoso, Ltd",Contoso,2,Regular,1,Product0101033,2,Black,2.8 x 1.6 x 0.2,,,10.1,ounces,1,inches,2,Mid,$84.49,$255.00,02-Jun-08,,On,,,1,26-Jun-08,26-Jun-08
34,0101034,Contoso 4GB Portable MP3 Player M450 Black,"4GB built in memory, USB driver and earphone, play MP3, WMA",1,"Contoso, Ltd",Contoso,2,Regular,1,Product0101034,2,Black,1.07 x 1.62 x 0.41,,,0.55,ounces,1,inches,2,Mid,$48.92,$95.95,28-Dec-07,,On,,,1,27-Jun-08,27-Jun-08
35,0101035,Contoso 4GB Portable MP3 Player M450 White,"4GB built in memory, USB driver and earphone, play MP3, WMA",1,"Contoso, Ltd",Contoso,2,Regular,2,Product0101035,8,White,9.2 x 7 x 1.8,,,2.4,ounces,1,inches,2,Mid,$48.92,$95.95,28-Dec-07,,On,,,1,28-Jun-08,28-Jun-08
36,0101036,Contoso 4GB Portable MP3 Player M450 Yellow,"4GB built in memory, USB driver and earphone, play MP3, WMA",1,"Contoso, Ltd",Contoso,2,Regular,3,Product0101036,13,Yellow,3.5 x 2 x 0.5,,,2.9,pounds,1,inches,2,Mid,$48.92,$95.95,28-Dec-07,,On,,,1,29-Jun-08,29-Jun-08
37,0101037,Contoso 8GB Clock & Radio MP3 Player X850 Silver,"2.6'' Touch screen, 8GB flash memory, clock and radio, plays AVI/RM/RMVB",1,"Contoso, Ltd",Contoso,3,Deluxe,3,Product0101037,7,Silver,3.5 x 1.6 x 0.3,,,1.6,ounces,1,inches,2,Mid,$99.14,$299.23,02-Feb-06,,On,,,1,30-Jun-08,30-Jun-08
38,0101038,Contoso 8GB Clock & Radio MP3 Player X850 Black,"2.6'' Touch screen, 8GB flash memory, clock and radio, plays AVI/RM/RMVB",1,"Contoso, Ltd",Contoso,3,Deluxe,3,Product0101038,2,Black,9 x 2 x 8, , ,2,pounds,1,inches,2,Mid,$99.14,$299.23,02-Feb-06,,On,,,1,01-Jul-08,01-Jul-08
39,0101039,Contoso 8GB Clock & Radio MP3 Player X850 Green,"2.6'' Touch screen, 8GB flash memory, clock and radio, plays AVI/RM/RMVB",1,"Contoso, Ltd",Contoso,3,Deluxe,1,Product0101039,14,Green,0.3 x 2.4 x 4.1, , ,6.4,ounces,1,inches,2,Mid,$99.14,$299.23,02-Feb-06,,On,,,1,02-Jul-08,02-Jul-08
40,0101040,Contoso 8GB Clock & Radio MP3 Player X850 Blue,"2.6'' Touch screen, 8GB flash memory, clock and radio, plays AVI/RM/RMVB",1,"Contoso, Ltd",Contoso,3,Deluxe,4,Product0101040,3,Blue,4.1 x 2.4 x 0.4, , ,5,ounces,1,inches,2,Mid,$99.14,$299.23,02-Feb-06,,On,,,1,03-Jul-08,03-Jul-08
41,0101041,Contoso 16GB New Generation MP5 Player M1650 Silver,"2.4'' LCD Touch screen, 8GB flash memory, plays music, video, photos and text, share JPEG, BMP, GIF, TIFF",1,"Contoso, Ltd",Contoso,2,Regular,1,Product0101041,7,Silver,2.4 x 0.3 x 4.1, , ,8,ounces,1,inches,2,Mid,$106.69,$232.00,18-Apr-09,,On,,,1,04-Jul-08,04-Jul-08
42,0101042,Contoso 16GB New Generation MP5 Player M1650 White,"2.4'' LCD Touch screen, 8GB flash memory, plays music, video, photos and text, share JPEG, BMP, GIF, TIFF",1,"Contoso, Ltd",Contoso,2,Regular,1,Product0101042,8,White,12.9 x 61.1 x 108.2, , ,12,ounces,1,inches,2,Mid,$106.69,$232.00,18-Apr-09,,On,,,1,05-Jul-08,05-Jul-08
43,0101043,Contoso 16GB New Generation MP5 Player M1650 Black,"2.4'' LCD Touch screen, 8GB flash memory, plays music, video, photos and text, share JPEG, BMP, GIF, TIFF",1,"Contoso, Ltd",Contoso,2,Regular,1,Product0101043,2,Black,2.2 x 0.6 x 1.4, , ,14.1,ounces,1,inches,2,Mid,$106.69,$232.00,18-Apr-09,,On,,,1,06-Jul-08,06-Jul-08
44,0101044,Contoso 16GB New Generation MP5 Player M1650 blue,"2.4'' LCD Touch screen, 8GB flash memory, plays music, video, photos and text, share JPEG, BMP, GIF, TIFF",1,"Contoso, Ltd",Contoso,2,Regular,1,Product0101044,3,blue,2.2 x 1.8 x 4, , ,1,pounds,1,inches,2,Mid,$106.69,$232.00,18-Apr-09,,On,,,1,07-Jul-08,07-Jul-08
45,0101045,Contoso 16GB New Generation MP5 Player M1650 Pink,"2.4'' LCD Touch screen, 8GB flash memory, plays music, video, photos and text, share JPEG, BMP, GIF, TIFF",1,"Contoso, Ltd",Contoso,2,Regular,4,Product0101045,10,Pink,4.1 x 2.4 x 0.4, , ,5,ounces,1,inches,2,Mid,$106.69,$232.00,18-Apr-09,,On,,,1,08-Jul-08,08-Jul-08
46,0104001,WWI 1GB Pulse Smart pen E50 White,"Record and link audio to be written, listen to recordings, share notes and recording with computer",4,Wide World Importers,Wide World Importers,1,Economy,1,Product0104001,8,White,6 x 0.5 x 0.5, , ,1.3,ounces,1,inches,1,High,$76.45,$149.95,12-May-06,,On,,,1,06-Sep-08,06-Sep-08
47,0104002,WWI 1GBPulse Smart pen E50 Black,"Record and link audio to be written, listen to recordings, share notes and recording with computer",4,Wide World Importers,Wide World Importers,1,Economy,5,Product0104002,2,Black,6 x 0.5 x 0.5, , ,2.2,ounces,1,inches,1,High,$76.45,$149.95,12-May-06,,On,,,1,07-Sep-08,07-Sep-08
48,0104003,WWI 1GB Pulse Smart pen E50 Silver,"Record and link audio to be written, listen to recordings, share notes and recording with computer",4,Wide World Importers,Wide World Importers,1,Economy,3,Product0104003,7,Silver,150X1x15, , ,30,grams,2,mm,1,High,$76.45,$149.95,12-May-06,,On,,,1,08-Sep-08,08-Sep-08
49,0104004,WWI 2GB Pulse Smart pen M100 White,"Record and link audio to be written, listen to recordings, share notes and recording with computer",4,Wide World Importers,Wide World Importers,2,Regular,4,Product0104004,8,White,5.1  x 2.4  x 3.9 , , ,30,grams,2,mm,1,High,$91.95,$199.95,02-Mar-07,,On,,,1,09-Sep-08,09-Sep-08
50,0104005,WWI 2GB Pulse Smart pen M100 Black,"Record and link audio to be written, listen to recordings, share notes and recording with computer",4,Wide World Importers,Wide World Importers,2,Regular,3,Product0104005,2,Black,3.8 x 5.5 x 1.8, , ,2.2,ounces,1,inches,1,High,$91.95,$199.95,02-Mar-07,,On,,,1,10-Sep-08,10-Sep-08
51,0104006,WWI 2GB Pulse Smart pen M100 Blue,"Record and link audio to be written, listen to recordings, share notes and recording with computer",4,Wide World Importers,Wide World Importers,2,Regular,1,Product0104006,3,Blue,6 x 0.5 x 0.5, , ,1.3,ounces,1,inches,1,High,$91.95,$199.95,02-Mar-07,,On,,,1,11-Sep-08,11-Sep-08
52,0104007,WWI 2GB Pulse Smart pen M100 Silver,"Record and link audio to be written, listen to recordings, share notes and recording with computer",4,Wide World Importers,Wide World Importers,2,Regular,1,Product0104007,7,Silver,6 x 0.5 x 0.5, , ,2.2,ounces,1,inches,1,High,$91.95,$199.95,02-Mar-07,,On,,,1,12-Sep-08,12-Sep-08
53,0104008,WWI 4GB Video Recording Pen X200 Black,"640 x 480 VGA audio video pen, business portable recorder, about 3 hours recording",4,Wide World Importers,Wide World Importers,3,Deluxe,3,Product0104008,2,Black,150X1x15, , ,30,grams,2,mm,1,High,$98.07,$296.00,07-Jun-08,,On,,,1,13-Sep-08,13-Sep-08
54,0104009,WWI 4GB Video Recording Pen X200 Red,"640 x 480 VGA audio video pen, business portable recorder, about 3 hours recording",4,Wide World Importers,Wide World Importers,3,Deluxe,1,Product0104009,6,Red,5.1  x 2.4  x 3.9 , , ,30,grams,2,mm,1,High,$98.07,$296.00,07-Jun-08,,On,,,1,14-Sep-08,14-Sep-08
55,0104010,WWI 4GB Video Recording Pen X200 Pink,"640 x 480 VGA audio video pen, business portable recorder, about 3 hours recording",4,Wide World Importers,Wide World Importers,3,Deluxe,2,Product0104010,10,Pink,3.8 x 5.5 x 1.8, , ,2.2,ounces,1,inches,1,High,$98.07,$296.00,07-Jun-08,,On,,,1,15-Sep-08,15-Sep-08
56,0104011,WWI 4GB Video Recording Pen X200 Yellow,"640 x 480 VGA audio video pen, business portable recorder, about 3 hours recording",4,Wide World Importers,Wide World Importers,3,Deluxe,1,Product0104011,13,Yellow,2.5 x 0.5 x 1, , ,1.3,ounces,1,inches,1,High,$98.07,$296.00,07-Jun-08,,On,,,1,16-Sep-08,16-Sep-08
57,0104012,WWI 1GB Digital Voice Recorder Pen E100 Black,"Voice recorder, MP3 player, USB flash drive, 64 hours recording",4,Wide World Importers,Wide World Importers,1,Economy,2,Product0104012,2,Black,150X1x15, , ,30,grams,2,mm,1,High,$79.53,$156.00,21-Jan-08,,On,,,1,17-Sep-08,17-Sep-08
58,0104013,WWI 1GB Digital Voice Recorder Pen E100 Red,"Voice recorder, MP3 player, USB flash drive, 64 hours recording",4,Wide World Importers,Wide World Importers,1,Economy,1,Product0104013,6,Red,6 x 0.5 x 0.5,,,1.3,ounces,1,inches,1,High,$79.53,$156.00,21-Jan-08,,On,,,1,18-Sep-08,18-Sep-08
59,0104014,WWI 1GB Digital Voice Recorder Pen E100 Pink,"Voice recorder, MP3 player, USB flash drive, 64 hours recording",4,Wide World Importers,Wide World Importers,1,Economy,1,Product0104014,10,Pink,6 x 0.5 x 0.5,,,2.2,ounces,1,inches,1,High,$79.53,$156.00,21-Jan-08,,On,,,1,19-Sep-08,19-Sep-08
60,0104015,WWI 1GB Digital Voice Recorder Pen E100 White,"Voice recorder, MP3 player, USB flash drive, 64 hours recording",4,Wide World Importers,Wide World Importers,1,Economy,1,Product0104015,8,White,150X1x15,,,30,grams,2,mm,1,High,$79.53,$156.00,21-Jan-08,,On,,,1,20-Sep-08,20-Sep-08
61,0104016,WWI 2GB Spy Video Recorder Pen M300 Black,"2GB flash memory, USB driver, continuous recording until memory full, as spy cameras, hidden cameras",4,Wide World Importers,Wide World Importers,2,Regular,1,Product0104016,2,Black,5.1  x 2.4  x 3.9 ,,,30,grams,2,mm,1,High,$83.24,$181.00,11-Feb-09,,On,,,1,21-Sep-08,21-Sep-08
62,0104017,WWI 2GB Spy Video Recorder Pen M300 White,"2GB flash memory, USB driver, continuous recording until memory full, as spy cameras, hidden cameras",4,Wide World Importers,Wide World Importers,2,Regular,1,Product0104017,8,White,3.8 x 5.5 x 1.8,,,2.2,ounces,1,inches,1,High,$83.24,$181.00,11-Feb-09,,On,,,1,22-Sep-08,22-Sep-08
63,0104018,WWI 2GB Spy Video Recorder Pen M300 Blue,"2GB flash memory, USB driver, continuous recording until memory full, as spy cameras, hidden cameras",4,Wide World Importers,Wide World Importers,2,Regular,1,Product0104018,3,Blue,6 x 0.5 x 0.5,,,1.3,ounces,1,inches,1,High,$83.24,$181.00,11-Feb-09,,On,,,1,23-Sep-08,23-Sep-08
64,0104019,WWI 2GB Spy Video Recorder Pen M300 Silver,"2GB flash memory, USB driver, continuous recording until memory full, as spy cameras, hidden cameras",4,Wide World Importers,Wide World Importers,2,Regular,1,Product0104019,7,Silver,6 x 0.5 x 0.5,,,2.2,ounces,1,inches,1,High,$83.24,$181.00,11-Feb-09,,On,,,1,24-Sep-08,24-Sep-08
65,0104020,WWI 2GB Spy Video Recorder Pen M300 Purple,"2GB flash memory, USB driver, continuous recording until memory full, as spy cameras, hidden cameras",4,Wide World Importers,Wide World Importers,2,Regular,5,Product0104020,5,Purple,150X1x15,,,30,grams,2,mm,1,High,$83.24,$181.00,11-Feb-09,,On,,,1,25-Sep-08,25-Sep-08
66,0106001,NT Bluetooth Stereo Headphones E52 Blue,Seamlessly integrates wireless mobile music and calls,6,Northwind Traders,Northwind Traders,1,Economy,1,Product0106001,3,Blue,5.1 x 1.8 x 4.9,,,1.1,ounces,1,inches,2,Mid,$13.10,$25.69,01-Apr-05,,On,,,1,31-Mar-09,31-Mar-09
67,0106002,NT Bluetooth Stereo Headphones E52 Black,Seamlessly integrates wireless mobile music and calls,6,Northwind Traders,Northwind Traders,1,Economy,1,Product0106002,2,Black,9 x 6.8 x 4.3,,,6.6,ounces,1,inches,2,Mid,$13.10,$25.69,01-Apr-05,,On,,,1,31-Mar-09,31-Mar-09
68,0106003,NT Bluetooth Stereo Headphones E52 Yellow,Seamlessly integrates wireless mobile music and calls,6,Northwind Traders,Northwind Traders,1,Economy,1,Product0106003,13,Yellow,1 x 1 x 1,,,1.6,ounces,1,inches,2,Mid,$13.10,$25.69,01-Apr-05,,On,,,1,31-Mar-09,31-Mar-09
69,0106004,NT Bluetooth Stereo Headphones E52 Pink,Seamlessly integrates wireless mobile music and calls,6,Northwind Traders,Northwind Traders,1,Economy,3,Product0106004,10,Pink,9 x 6.8 x 4.3,,,6.6,ounces,1,inches,2,Mid,$13.10,$25.69,01-Apr-05,,On,,,1,31-Mar-09,31-Mar-09
70,0106005,NT Wireless Bluetooth Stereo Headphones E102 Silver,"Wireless range beyond 10 meters, MP3-quality stereo sound",6,Northwind Traders,Northwind Traders,1,Economy,2,Product0106005,7,Silver,8 x 6.7 x 2.2,,,9.6,ounces,1,inches,2,Mid,$22.05,$47.95,12-Feb-07,,On,,,1,31-Mar-09,31-Mar-09
71,0106006,NT Wireless Bluetooth Stereo Headphones E102 Black,"Wireless range beyond 10 meters, MP3-quality stereo sound",6,Northwind Traders,Northwind Traders,1,Economy,3,Product0106006,2,Black,5 x 9 x 7,,,2.1,pounds,1,inches,2,Mid,$22.05,$47.95,12-Feb-07,,On,,,1,31-Mar-09,31-Mar-09
72,0106007,NT Wireless Bluetooth Stereo Headphones E102 Blue,"Wireless range beyond 10 meters, MP3-quality stereo sound",6,Northwind Traders,Northwind Traders,1,Economy,5,Product0106007,3,Blue,5 x 9 x 7,,,2.1,pounds,1,inches,2,Mid,$22.05,$47.95,12-Feb-07,,On,,,1,31-Mar-09,31-Mar-09
73,0106008,NT Wireless Bluetooth Stereo Headphones E102 White,"Wireless range beyond 10 meters, MP3-quality stereo sound",6,Northwind Traders,Northwind Traders,1,Economy,2,Product0106008,8,White,5.7 x 3.6 x 9.2,,,1.2,pounds,1,inches,2,Mid,$22.05,$47.95,12-Feb-07,,On,,,1,31-Mar-09,31-Mar-09
74,0106009,NT Bluetooth Active Headphones E202 Black,"Wireless range up10 meters, beyond 7-hour talking time.",6,Northwind Traders,Northwind Traders,1,Economy,3,Product0106009,2,Black,5 x 6 x 2,,,1.5,pounds,1,inches,2,Mid,$17.45,$37.95,05-Apr-08,,On,,,1,31-Mar-09,31-Mar-09
75,0106010,NT Bluetooth Active Headphones E202 White,"Wireless range up10 meters, beyond 7-hour talking time.",6,Northwind Traders,Northwind Traders,1,Economy,1,Product0106010,8,White,10.4 x 8.1 x 3.1,, ,11.4,ounces,1,inches,2,Mid,$17.45,$37.95,14-May-07,,On,,,1,31-Mar-09,31-Mar-09
76,0106011,NT Bluetooth Active Headphones E202 Red,"Wireless range up10 meters, beyond 7-hour talking time.",6,Northwind Traders,Northwind Traders,1,Economy,3,Product0106011,6,Red,5.6 x 3.5 x 9.1,, ,1,pounds,1,inches,2,Mid,$17.45,$37.95,14-May-07,,On,,,1,31-Mar-09,31-Mar-09
77,0106012,NT Bluetooth Active Headphones E202 Silver,"Wireless range up10 meters, beyond 7-hour talking time.",6,Northwind Traders,Northwind Traders,1,Economy,2,Product0106012,7,Silver,1.81x 3.5 x  0.86 ,, ,29,grams,1,inches,2,Mid,$17.45,$37.95,14-May-07,,On,,,1,31-Mar-09,31-Mar-09
